,seq,id_code,rock_type,grain_size,rock_water_ratio,rpm,water_replacement,pressure_cooked,label_code,date,time,min,day,duration_min,TA_umol_kg,TA_after_replaced_umol_kg,sd_TA_percentage,TA_AWR_umol_kg,duration_day,ec_uS_cm,pH,temperature_c,pCO2_ppm,DSi_umol_l,Na_umol_l,NH4_umol_l,K_umol_l,Ca_umol_l,Mg_umol_l,F_umol_l,Cl_umol_l,NO2_umol_l,Br_umol_l,NO3_umol_l,PO43_umol_l,SO42_umol_l,ssa_m2_g,legend_day,cation_meq_l,anion_meq_l,CBE_percent
120,120,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW,07.03.22,09:49,0,0,0,0,,25.8,0,0,0.8,6.609,19.3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134,Day 0,0,0,NA
121,121,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW C/1,07.03.22,13:44,60,0.04,60,816.9,,19.43,0,0.04,86.5,9.66,18.4,NA,190.73,165.3,0,73.84,8.34,262.45,0,23.65,4.31,0,22.78,0,5.42,1.134,Day 0,780.72,874.17,-5.64690100248355
122,122,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW C/2,07.03.22,14:45,120,0.08,120,1179.5,,21.83,0,0.08,120.4,9.65,18.8,NA,324.73,189.81,0,97.93,9.49,415.07,0,20.26,4.4,0,20.13,0,7.24,1.134,Day 0,1136.86,1234.37,-4.11221180568733
123,123,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW C/3,08.03.22,12:01,1396,0.97,1440,6965.6,,15.68,6965.6,1,558,9.41,19.2,NA,736.67,372.53,0,342.31,29.72,3058.44,0,22.93,0,0,20.48,0,25.89,1.134,Day 1,6891.16,7060.79,-1.21581571034873
124,124,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW C/4,09.03.22,09:18,2673,1.86,2880,11761.3,,10.72,9462.652,2,854,9.44,19.7,NA,725.32,443.34,0,487.41,38.36,5310.72,0,25.21,0,0,18.65,0,39.35,1.134,Day 2,11628.91,11883.86,-1.08430440139549
125,125,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW C/5,10.03.22,09:51,4151,2.88,4320,16662.1,,14.77,12780.871,3,1143,9.44,18,NA,676.18,519.55,0,621.47,45.36,7675.7,0,29.6,0,0,19.56,0,54.91,1.134,Day 3,16583.14,16821.08,-0.712305211736717
126,126,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW C/6,11.03.22,09:29,5569,3.87,5760,20975.4,,10.88,15476.907,4,1353,9.48,18.1,NA,669.87,555.26,0,713.53,39.14,9678.25,0,30.91,0,0,18.53,0,69.89,1.134,Day 4,20703.57,21164.62,-1.10119400910334
127,127,DC-13-NWR-50,dunite,coarse,1 to 3,50,no,no,DcNW C/7,14.03.22,09:17,9877,6.86,10080,37373.4,,14.34,10150.506,7,2080,9.51,19,NA,521.84,854.73,0,1120.28,0,17832.72,0,50.05,0,0,23.86,0,155.28,1.134,Day 7,37640.45,37757.87,-0.155732912881876
128,128,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC,21.02.22,12:01,0,0,0,0,,21.9,0,0,1.2,7.58,20.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,Day 0,0,0,NA
129,129,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/1,21.02.22,13:17,60,0.04,60,660.6,,21.25,0,0.04,72.8,9.68,20,NA,160.17,0,0,78.05,3.29,220.29,0,21.46,6.29,0,19.73,0,7.73,0.959,Day 0,525.21,717.25,-15.4564332050931
130,130,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/2,21.02.22,14:24,120,0.08,120,1056.1,,21.66,0,0.08,105.6,9.41,19.9,NA,230.42,0,0,112.55,3.66,377.71,0,17.09,6.35,0,19.36,0,8.72,0.959,Day 0,875.29,1109.99,-11.8220099935525
131,131,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/3,21.02.22,15:27,180,0.13,180,1440,,18.73,0,0.13,139.9,9.45,19.9,NA,291.51,0,0,139.39,5.45,548.07,0,17.21,6.42,0,19.23,0,9.49,0.959,Day 0,1246.43,1495.42,-9.08109488119335
132,132,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/4,21.02.22,16:28,240,0.17,240,1833.2,,22.45,0,0.17,175.4,9.39,19.9,NA,347.16,42.14,0,167.42,8.61,733.22,0,18.07,6.21,0,19.46,0,10.12,0.959,Day 0,1693.22,1890.97,-5.51728563496913
133,133,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/5,22.02.22,09:22,1254,0.87,1440,6848.3,4457.2,17.12,6848.3,1,562,9.3,20.2,NA,599.29,228.81,0,481.98,15.01,2987.6,0,21.07,6.38,0,20.68,0,20.92,0.959,Day 1,6716.01,6931.89,-1.58178181258655
134,134,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/8,23.02.22,10:08,2725,1.89,2880,10168.2,6189.6,11.26,7908.261,2,777,9.26,19.7,NA,627.62,218.31,0,641.72,12.57,4474.22,0,19.7,2,0,19.12,0,22.71,0.959,Day 2,9833.61,10252.44,-2.08517851942019
135,135,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/9,23.02.22,10:23,2730,1.9,2940,6189.6,,19.42,0,2.04,503,9.34,19.8,NA,434.61,89.4,0,397.54,6.98,2739.75,0,12.88,0,0,16.18,0,14.17,0.959,Day 2,5980.4,6247,-2.18034905212882
136,136,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/10,24.02.22,09:57,4143,2.88,4320,11419.1,6469.1,14.16,9376.532,3,852,9.29,19.8,NA,628.63,212.84,0,669.54,9.57,5086.57,0,14.94,0,0,17.14,0,21.74,0.959,Day 3,11074.66,11494.66,-1.86093333782321
137,137,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/12,25.02.22,08:59,5513,3.83,5760,11605.2,6032.1,14.57,7836.897,4,852,9.31,20,NA,524.35,177.23,0,636.17,7.83,5214.91,0,9.96,0,0,15.25,0,19.64,0.959,Day 4,11258.88,11669.69,-1.79169481568193
138,138,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/13,25.02.22,09:15,5518,3.83,5820,6032.1,,19.74,0,4.04,486,9.38,20.1,NA,310.99,0,0,338.89,2.23,2708.06,0,8.01,0,0,12.48,0,10.64,0.959,Day 4,5759.47,6073.87,-2.65689991160569
139,139,DM-13-C-50,dunite,medium,1 to 3,50,yes,no,DmC B/14,28.02.22,10:59,9942,6.9,10080,21510.9,,12.78,6506.769,7,1443,9.29,18.7,NA,380.23,274.81,0,1002.36,15.31,9845.21,0,14.67,0,0,13.02,0,36.06,0.959,Day 7,20998.21,21610.71,-1.43749243116232
140,140,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC,21.02.22,12:01,0,0,0,0,,18.85,0,0,1.2,7.58,20.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,Day 0,0,0,NA
141,141,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/1,21.02.22,13:17,60,0.04,60,525.2,,21.02,0,0.04,61.5,9.75,20.5,NA,199.68,0,0,64.81,3.39,171.01,0,9.57,5.97,0,12.44,0,7.38,0.959,Day 0,413.61,561.97,-15.2073638245967
142,142,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/2,21.02.22,14:24,120,0.08,120,878.5,,20.2,0,0.08,90.4,9.57,19.7,NA,253.61,0,0,96.33,4.98,310.37,0,8.53,5.87,0,12.8,0,8.87,0.959,Day 0,727.03,917.57,-11.5857959382221
143,143,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/3,21.02.22,15:27,180,0.13,180,1249.7,,18.63,0,0.13,121.8,9.38,0,NA,302.36,0,0,120.58,9.24,477.9,0,9.01,5.95,0,12.64,0,9.6,0.959,Day 0,1094.86,1290.55,-8.20362118042601
144,144,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/4,21.02.22,16:28,240,0.17,240,1656.6,,20.18,0,0.17,156.2,9.37,20.3,NA,354.33,0,0,144.3,9.28,649.64,0,14.21,6.13,0,11.76,0,10.44,0.959,Day 0,1462.14,1703.45,-7.62290757805022
145,145,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/5,22.02.22,09:22,1254,0.87,1440,6590.8,4280.8,19.6,6590.8,1,536,9.32,19.9,NA,623.99,205.99,0,475.21,17.52,2840.26,0,19.15,6.92,0,13.89,0,21.59,0.959,Day 1,6396.76,6667.02,-2.06877335656296
146,146,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/8,23.02.22,10:08,2725,1.89,2880,9769.5,5947.7,18.89,7594.536,2,749,9.29,19.7,NA,630.39,205.38,0,641.88,13.28,4290.31,0,9.68,0,0,29.43,0,22.75,0.959,Day 2,9454.44,9854.11,-2.06991203378814
147,147,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/10,24.02.22,09:57,4143,2.88,4320,11120.4,6285.6,14.03,7896.465,3,828,9.28,20,NA,624.06,197.6,0,668.66,8.25,4915.42,0,7.06,0,0,30.04,0,21.43,0.959,Day 3,10713.6,11200.36,-2.22123249289493
148,148,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/12,25.02.22,08:59,5513,3.83,5760,11419.5,5841.9,12.7,7749.768,4,840,9.3,19.7,NA,589.82,183.25,0,627.71,5.2,5108.89,0,8.7,0,0,18.02,0,18.73,0.959,Day 4,11039.14,11483.68,-1.97373153095394
149,149,DM-13-PC-50,dunite,medium,1 to 3,50,yes,pressure-cooked,DmPC A/14,28.02.22,10:59,9942,6.9,10080,21464.5,,15.08,5898.688,7,1396,9.33,18.4,NA,520.65,282.88,0,973.56,5.99,0,0,5.83,0,0,18.78,0,30.59,0.959,Day 7,1268.42,21550.29,-88.882631840275
150,150,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC,14.02.22,10:40,0,0,0,0,,18.12,0,0,1.3,7.332,20.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134,Day 0,0,0,NA
151,151,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/1,14.02.22,12:49,60,0.04,60,680.5,,25.51,0,0.04,69.2,9.042,19.7,NA,102.75,162.45,0,75.59,3.83,181.81,0,20.59,0,0,12.24,0,6.3,1.134,Day 0,609.32,725.93,-8.73319603070586
152,152,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/2,14.02.22,13:56,120,0.08,120,1058.2,,23.16,0,0.08,108.8,9.563,20.1,NA,157.51,203.2,0,106.55,6.9,336.22,0,19.3,0,0,12.72,0,8.61,1.134,Day 0,995.99,1107.44,-5.29848865899983
153,153,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/3,14.02.22,15:00,180,0.13,180,1448.3,,22.57,0,0.13,142.5,9.367,20.4,NA,210.54,229.84,0,131.29,10.42,507.06,0,22.16,0,0,13.27,0,10.32,1.134,Day 0,1396.09,1504.37,-3.73320094054046
154,154,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/4,14.02.22,16:04,240,0.17,240,1919.2,,23.18,0,0.17,179.8,9.405,20.1,NA,259.09,250.36,0,153.4,12.22,704.1,0,21.2,0,0,13.39,0,11.7,1.134,Day 0,1836.4,1977.19,-3.69179696821105
155,155,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/5,15.02.22,09:45,1301,0.9,1440,7869.3,5082.2,18.84,7869.3,1,612,9.448,20.3,NA,539.53,440.59,0,409.04,31.26,3387.4,0,26.28,0,0,15.17,0,34.32,1.134,Day 1,7686.95,7979.39,-1.8666772200782
156,156,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/8,16.02.22,09:10,2684,1.86,2880,11423.2,6706.1,10.86,8826.331,2,828,9.41,19.8,NA,581.75,398.95,0,466.27,33.1,5108.9,0,20.51,0,0,11.82,0,41.01,1.134,Day 2,11149.22,11537.55,-1.71170245918657
157,157,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/10,17.02.22,09:10,4110,2.85,4320,14489.3,7101.5,11.03,10719.644,3,910,9.394,20.1,NA,601.7,310.58,0,437.29,31.09,5956.76,0,14.7,0,0,8.75,0,39.52,1.134,Day 3,12723.57,14591.79,-6.83944857398913
158,158,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/12,18.02.22,13:09,5767,4,5760,15177.5,7318.7,13.8,10396.031,4,1022,9.435,19.4,NA,611.55,0,0,393.41,31.54,6718.29,0,11.21,0,0,6.31,0,39.54,1.134,Day 4,13893.07,15274.1,-4.73487828952895
159,159,DC-13-C-50,dunite,coarse,1 to 3,50,yes,no,DcC B/14,21.02.22,09:10,9814,6.82,10080,26718.6,,11.91,7236.675,7,1565,9.453,20.3,NA,484.31,0,0,541.94,41.4,12187.71,0,17.44,0,0,5.93,0,79.19,1.134,Day 7,25000.16,26900.35,-3.66121643120656
160,160,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC,14.02.22,10:40,0,0,0,0,,25.96,0,0,1.3,7.332,20.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134,Day 0,0,0,NA
161,161,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/1,14.02.22,12:49,60,0.04,60,607.8,,19.37,0,0.04,63.9,9.573,20.3,NA,93.61,173,0,59.78,1.88,100.33,0,12.96,4.02,0,11.77,0,8.53,1.134,Day 0,437.2,649.59,-19.5428739682919
162,162,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/2,14.02.22,13:56,120,0.08,120,936.4,,24.61,0,0.08,96.1,9.55,19.8,NA,150.58,106.33,0,87.62,3.63,294,0,14.07,4.15,0,10.34,0,10.79,1.134,Day 0,789.21,982.39,-10.9042673289682
163,163,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/3,14.02.22,15:00,180,0.13,180,1311,,20.72,0,0.13,130.2,9.591,20,NA,199.41,115.32,0,110.22,6.15,449.39,0,18.7,4.04,0,12.46,0,12.3,1.134,Day 0,1136.62,1366.76,-9.19317083303374
164,164,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/4,14.02.22,16:04,240,0.17,240,1664.4,,24.25,0,0.17,162.4,9.456,20.1,NA,227.31,121.47,0,133.96,8.55,636.71,0,11.64,3.97,0,12.19,0,13.6,1.134,Day 0,1545.95,1715.43,-5.1965732297371
165,165,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/5,15.02.22,09:45,1301,0.9,1440,7492.8,4897,19.05,7492.8,1,579,9.419,20.6,NA,543.46,285.82,0,380.87,29.27,3238.55,0,17.88,4.12,0,17.56,0,35.62,1.134,Day 1,7202.33,7599.48,-2.68311780788971
166,166,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/8,16.02.22,09:10,2684,1.86,2880,11026.9,6460.4,15.15,8554.276,2,801,9.393,19.8,NA,580.62,255.47,0,444.53,29.57,4941.2,0,14.62,0,0,7.74,0,40.69,1.134,Day 2,10641.54,11130.64,-2.24644477493756
167,167,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/10,17.02.22,09:10,4110,2.85,4320,12767.8,6759.6,15.55,9128.923,3,801,9.436,20.3,NA,625.53,214.78,0,418.83,27.85,5859.54,0,15.4,0,0,17.02,0,40.26,1.134,Day 3,12408.39,12880.74,-1.8677985363672
168,168,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/12,18.02.22,13:09,5767,4,5760,14859.7,6737,15.22,10646.326,4,1007,9.426,19.6,NA,625.57,198.2,0,388.02,28.2,6968.92,0,8.81,0,0,8.96,0,41.11,1.134,Day 4,14580.46,14959.69,-1.28377817986707
169,169,DC-13-PC-50,dunite,coarse,1 to 3,50,yes,pressure-cooked,DcPC A/14,21.02.22,09:10,9814,6.82,10080,26758.1,,12.31,7284.800,7,1573,9.46,20.3,NA,482.13,222.23,0,557.82,37.78,12653.01,0,16.47,0,0,8.15,0,83.24,1.134,Day 7,26161.63,26949.2,-1.48288023365479
170,170,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,01.11.21,NA,NA,NA,0,0,,25.96,0,0,1.4,7.78,21.2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,10.577,Day 0,0,0,NA
171,171,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,01.11.21,NA,NA,NA,60,2003.9,,20.07,0,0.04,193,9.561,19.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,10.577,Day 0,0,2003.9,-100
172,172,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,02.11.21,NA,NA,NA,1440,2627.1,,19.26,2627.1,1,220,8.763,17.6,NA,NA,2483.01,0,158.76,184.84,153.29,0,199.58,0,0,49.81,0,230.62,10.577,Day 1,3318.03,3337.73,-0.295984230200605
173,173,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,03.11.21,NA,NA,NA,2880,3197.4,,24.38,2330.457,2,240,8.764,17.3,NA,NA,3411.32,0,210.99,364.84,401.69,0,212.28,0,0,50.21,0,236.51,10.577,Day 2,5155.37,3932.91,13.4509500147443
174,174,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,04.11.21,NA,NA,NA,4320,3850.2,,22.82,2795.058,3,369,8.701,17.5,NA,NA,3705.03,0,212.75,500.51,463.66,0,229.85,0,0,32.93,0,255.12,10.577,Day 3,5846.12,4623.22,11.6807745282893
175,175,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,05.11.21,NA,NA,NA,5760,4005.6,,24.85,2735.034,4,413,8.777,17.5,NA,NA,2991.39,0,182.91,467.66,508.38,0,207.34,0,0,10.71,0,177.44,10.577,Day 4,5126.38,4578.53,5.64508068596205
176,176,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,09.11.21,NA,NA,NA,7200,4059.9,,25.23,2738.052,5,480,8.792,18.6,NA,NA,2403.71,0,175.86,513.1,444.69,0,102.59,0,0,50.53,0,131.9,10.577,Day 5,4495.15,4476.82,0.204302956875701
177,177,BF-13-NWR-50,basalt,fine,1 to 3,50,no,no,BF-13-NWR-50,11.11.21,NA,NA,NA,10080,4559.8,,20.61,1073.344,7,428,8.6,19.1,NA,NA,2012.81,0,132.41,536.14,474.6,0,73.16,0,0,51.74,0,112.38,10.577,Day 7,4166.7,4909.46,-8.18363713288439
178,178,base_basalt,basalt,fine,1 to 3,0,no,no,NA,12.01.22,NA,NA,NA,0,0,,20.79,0,0,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 0,NA,NA,NA
179,179,base_basalt,basalt,fine,1 to 3,0,no,no,NA,12.01.22,NA,NA,NA,60,18.53061621,,21.56,0,0.04,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 0,NA,NA,NA
180,180,base_basalt,basalt,fine,1 to 3,0,no,no,NA,12.01.22,NA,NA,NA,300,40.22326057,,18.61,0,0.21,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 0,NA,NA,NA
181,181,base_basalt,basalt,fine,1 to 3,0,no,no,NA,13.01.22,NA,NA,NA,1440,52.36320524,,24.43,52.36320524,1,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 1,NA,NA,NA
182,182,base_basalt,basalt,fine,1 to 3,0,no,no,NA,13.01.22,NA,NA,NA,4320,57.32970918,,23.01,0,3,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 3,NA,NA,NA
183,183,base_basalt,basalt,fine,1 to 3,0,no,no,NA,14.01.22,NA,NA,NA,5760,67.41755735,,18.71,0,4,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 4,NA,NA,NA
184,184,base_basalt,basalt,fine,1 to 3,0,no,no,NA,17.01.22,NA,NA,NA,7200,80.49048095,,21.51,0,5,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 5,NA,NA,NA
185,185,base_basalt,basalt,fine,1 to 3,0,no,no,NA,19.01.22,NA,NA,NA,10080,92.5470306,,21.51,0,7,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.577,Day 7,NA,NA,NA
186,186,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,12.01.22,NA,NA,NA,0,0,,25.78,0,0,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
187,187,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,12.01.22,NA,NA,NA,60,101.6940187,,22.72,0,0.04,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
188,188,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,12.01.22,NA,NA,NA,300,122.5943232,,21.29,0,0.21,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
189,189,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,13.01.22,NA,NA,NA,1440,155.8118883,,22.13,155.8118883,1,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
190,190,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,13.01.22,NA,NA,NA,4320,185.0266174,,25.2,0,3,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 3,NA,NA,NA
191,191,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,14.01.22,NA,NA,NA,5760,216.2648775,,25.6,0,4,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 4,NA,NA,NA
192,192,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,17.01.22,NA,NA,NA,7200,257.8435442,,21.15,0,5,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 5,NA,NA,NA
193,193,base_dunite,dunite,coarse,1 to 3,0,no,no,NA,19.01.22,NA,NA,NA,10080,300.8174682,,24.66,0,7,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 7,NA,NA,NA
194,194,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,12.12.22,13:00,NA,NA,0,0,,22.94,,0,0.8,6.4,15,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
195,195,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,12.12.22,13:30,NA,NA,30,570.3225806,,24.27,,0.02,58.7,9.442,15.3,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
196,196,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,12.12.22,14:00,NA,NA,60,817.7419355,,25.68,,0.04,74,9.582,14.4,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
197,197,rpm_slow,dunite,coarse,1 to 3,30,yes,no,DB01,12.12.22,16:00,NA,NA,180,1137.5,,21.07,,0.13,136.8,9.58,15,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
198,198,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,12.12.22,17:00,NA,NA,240,1410.601703,,25.06,,0.17,123.6,9.625,14.6,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
199,199,rpm_slow,dunite,coarse,1 to 3,30,yes,no,DB02,12.12.22,18:00,NA,NA,300,1901.25,,24.5,,0.21,156.3,9.585,14.6,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
200,200,rpm_slow,dunite,coarse,1 to 3,30,yes,no,DB03,13.12.22,13:00,NA,NA,1440,5170.957995,,19.47,5170.957995,1,407,9.359,14.4,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
201,201,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,13.12.22,14:00,NA,NA,1500,3223.61194,,19.32,,1.04,258,9.336,14.2,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
202,202,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,13.12.22,15:00,NA,NA,1560,3549.828431,,25.33,,1.08,301,9.377,14.1,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
203,203,rpm_slow,dunite,coarse,1 to 3,30,yes,no,DB04,14.12.22,13:00,NA,NA,2880,7581.308411,,16.33,,2,568,9.297,19.9,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 2,NA,NA,NA
204,204,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,14.12.22,14:00,NA,NA,2940,4864.767616,,19.4,,2.04,371,9.37,13.2,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 2,NA,NA,NA
205,205,rpm_slow,dunite,coarse,1 to 3,30,yes,no,DB05,15.12.22,13:00,NA,NA,4320,8527.522936,,17.34,,3,613,9.248,13.6,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 3,NA,NA,NA
206,206,rpm_slow,dunite,coarse,1 to 3,30,yes,no,NA,15.12.22,14:00,NA,NA,4380,5628.434783,,15.11,,3.04,442,9.35,13.2,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 3,NA,NA,NA
207,207,rpm_slow,dunite,coarse,1 to 3,30,yes,no,DB06,16.12.22,14:00,NA,NA,5820,9366.745283,,18.94,,4,646,9.245,13.6,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 4,NA,NA,NA
208,208,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,12.12.22,13:00,NA,NA,0,0,,20.09,,0,0.8,6.4,15,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
209,209,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,12.12.22,13:30,NA,NA,30,1307.386364,,18.74,,0.02,118,9.559,14.8,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
